Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
"Đường Định Công Thượng, Phường Kim Giang, Thanh Xuân, Hà Nội",45.0,,,,,5.0,,,Have certificate,Full,7.05
"Đường Láng, Phường Láng Thượng, Đống Đa, Hà Nội",40.0,4.0,,,,5.0,4.0,4.0,,,8.45
"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",51.0,,,,,7.0,3.0,4.0,Have certificate,,9.7
"Xã Cổ Loa, Huyện Đông Anh, Hà Nội",67.0,4.35,3.0,Bắc,Bắc,1.0,2.0,1.0,Have certificate,Basic,3.5
"Phố Đại La, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",38.0,3.9,6.0,,,5.0,3.0,4.0,Have certificate,Full,4.6
"Đường Văn Phú, Phường Phú La, Hà Đông, Hà Nội",52.0,,,,,5.0,8.0,7.0,Have certificate,Full,7.8
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",35.0,4.1,9.0,,,5.0,3.0,4.0,Have certificate,Full,4.0
"Đường Định Công Thượng, Phường Định Công, Hoàng Mai, Hà Nội",30.0,3.2,5.0,,,5.0,3.0,4.0,Have certificate,Full,5.5
"Đường Vĩnh Hưng, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",21.0,3.6,3.0,,,5.0,3.0,2.0,Have certificate,,3.9
"Đường Thượng Phúc, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",45.0,,,,,4.0,4.0,,Have certificate,,3.1
"Đường Thượng Phúc, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",39.0,,,,,4.0,,,Have certificate,,3.25
"Đường Tố Hữu, Phường Nhân Chính, Thanh Xuân, Hà Nội",55.0,17.0,,,,4.0,,,Have certificate,,9.9
"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",35.0,,,,,5.0,,,Have certificate,,4.45
"Đường Thượng Phúc, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",35.0,,,,,5.0,,,Have certificate,,3.35
"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",45.0,3.7,,,,4.0,4.0,3.0,Have certificate,Full,7.0
"Phố 72, Xã An Khánh, Hoài Đức, Hà Nội",35.0,,,,,5.0,3.0,4.0,Have certificate,,3.65
"Đường Văn Cao, Phường Liễu Giai, Ba Đình, Hà Nội.",40.0,3.5,4.0,Nam,Tây,7.0,3.0,5.0,Have certificate,Basic,9.2
"Đường Lý Sơn, Phường Thượng Thanh, Long Biên, Hà Nội",58.0,3.6,3.5,,,4.0,4.0,3.0,Have certificate,,7.5
"Đường Thượng Thanh, Phường Thượng Thanh, Long Biên, Hà Nội",153.0,6.0,4.0,,,3.0,4.0,3.0,Have certificate,Full,8.1
"Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội",48.0,,3.2,,,4.0,4.0,3.0,Have certificate,Full,5.85
"Đường Phan Đình Giót, Phường Quang Trung, Hà Đông, Hà Nội",38.0,,,,,4.0,4.0,3.0,Have certificate,,6.1
"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",65.0,4.0,3.0,,,6.0,8.0,9.0,Have certificate,Full,10.0
"Ngõ 105, Phố Doãn Kế Thiện, Phường Mai Dịch, Cầu Giấy, Hà Nội",44.0,3.4,3.0,,,5.0,6.0,5.0,Have certificate,Full,8.95
"Phường Cự Khối, Long Biên, Hà Nội",65.0,,,,,,,,,,4.6
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",45.0,,,,,3.0,3.0,2.0,Have certificate,,3.3
"Phường Việt Hưng, Long Biên, Hà Nội",80.0,,,,,4.0,4.0,,,,5.6
"Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội",38.0,4.7,,,,6.0,3.0,4.0,,,8.86
"Đường Hoàng Văn Thái, Phường Khương Đình, Thanh Xuân, Hà Nội",45.0,4.5,4.0,Bắc,Bắc,5.0,4.0,3.0,Have certificate,Full,7.9
"Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",42.0,5.5,4.0,Bắc,Bắc,7.0,4.0,5.0,Have certificate,Full,10.0
"Đường Bưởi, Phường Vĩnh Phúc, Ba Đình, Hà Nội",38.0,4.2,,,,6.0,4.0,6.0,Have certificate,Full,8.99
"Đường Hà Trì, Phường Hà Cầu, Hà Đông, Hà Nội",33.0,3.5,2.0,,,5.0,4.0,,Have certificate,Full,4.75
"Ngõ 4, Phố Phương Mai, Phường Phương Mai, Đống Đa, Hà Nội",35.0,3.5,3.0,,,4.0,4.0,3.0,Have certificate,Full,7.7
"Phường Long Biên, Long Biên, Hà Nội",40.0,4.0,6.0,Đông - Nam,Đông - Nam,6.0,3.0,4.0,Have certificate,,6.57
"Đường Xuân Đỉnh, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",34.0,3.4,,,,5.0,3.0,4.0,Have certificate,Full,6.55
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",35.0,3.8,25.0,Đông - Bắc,Đông - Bắc,4.0,2.0,2.0,Have certificate,Basic,7.42
"Đường Hà Trì 2, Phường Hà Cầu, Hà Đông, Hà Nội",37.0,3.5,2.0,Đông - Nam,Đông - Nam,5.0,4.0,4.0,Have certificate,Basic,4.9
"Đường Xuân Khôi, Phường Cự Khối, Long Biên, Hà Nội",51.0,3.6,3.3,,,1.0,1.0,1.0,Have certificate,Full,3.6
"Đường Thịnh Quang, Phường Thịnh Quang, Đống Đa, Hà Nội",40.0,3.8,,,,5.0,6.0,4.0,Have certificate,Full,6.95
"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",33.0,3.5,5.0,,,5.0,4.0,4.0,Have certificate,Full,4.38
"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",40.0,,,,,,,,Have certificate,Full,5.35
"Đường Lê Lợi, Phường Nguyễn Trãi, Hà Đông, Hà Nội",30.0,3.0,1.5,Tây - Bắc,Tây - Bắc,5.0,4.0,3.0,Have certificate,Full,4.5
"Đường Phạm Văn Đồng, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",45.0,4.2,5.0,,,5.0,8.0,9.0,,Full,8.3
"Xã Đông La, Huyện Hoài Đức, Hà Nội",37.0,3.5,3.0,,,4.0,4.0,4.0,Have certificate,Full,2.75
"Phố Hồng Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội",30.0,,,,,4.0,4.0,3.0,Have certificate,Basic,4.2
"Đường Đội Cấn, Phường Cống Vị, Ba Đình, Hà Nội",38.0,,,,,7.0,5.0,6.0,Have certificate,,9.8
"Đường DH04, Xã Song Phương, Hoài Đức, Hà Nội",40.0,,,,,4.0,3.0,3.0,Have certificate,Basic,3.6
"Đường Định Công Thượng, Phường Định Công, Hoàng Mai, Hà Nội",40.0,,,,,4.0,,,Have certificate,Full,7.4
"Phố Xã Đàn, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",35.0,,,,,,,,Have certificate,,7.63
"đường Liên Mạc, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội",45.0,6.9,10.0,Tây - Bắc,Tây - Bắc,5.0,8.0,9.0,Have certificate,Basic,4.8
"Đường Hoàng Liên, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội",31.0,4.6,7.0,,,5.0,4.0,4.0,Have certificate,Full,3.6
"Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",35.0,5.0,4.0,,,5.0,3.0,4.0,Have certificate,Basic,6.75
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",39.0,3.0,,,,5.0,,,Have certificate,,10.0
"Đường Phan Kế Bính, Phường Cống Vị, Ba Đình, Hà Nội",49.0,4.5,3.0,,,4.0,4.0,3.0,Have certificate,Basic,8.99
"Xã An Khánh, Huyện Hoài Đức, Hà Nội",32.0,,3.0,,,4.0,5.0,3.0,Have certificate,Full,3.05
"Xã Đại Thành, Quốc Oai, Hà Nội",43.0,4.0,5.0,,,3.0,3.0,2.0,Have certificate,Full,2.65
"Đường Hữu Hưng, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",40.0,,,,,4.0,4.0,3.0,Have certificate,Full,5.6
"Xã Ngọc Hồi, Thanh Trì, Hà Nội.",54.0,5.0,4.0,,,5.0,4.0,4.0,Have certificate,Basic,5.25
"Đường Trương Định, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",42.0,5.0,3.0,Tây,,5.0,6.0,4.0,Have certificate,Full,6.7
"Phường Mỗ Lao, Hà Đông, Hà Nội",56.0,4.0,6.0,,,4.0,4.0,5.0,Have certificate,Full,9.8
"Đường Hà Trì, Phường Hà Cầu, Hà Đông, Hà Nội",45.0,,,,,3.0,,,,Full,6.95
"Xã Phụng Châu, Huyện Chương Mỹ, Hà Nội",40.0,,3.0,,,3.0,4.0,3.0,Have certificate,Full,2.27
"Đường Khương Đình, Phường Khương Đình, Thanh Xuân, Hà Nội",33.0,3.0,,,,4.0,4.0,3.0,Have certificate,Full,6.15
"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",38.0,3.5,,,,6.0,4.0,4.0,Have certificate,Full,8.29
"Phường Đồng Mai, Quận Hà Đông, Hà Nội",40.0,,4.0,,,3.0,4.0,3.0,Have certificate,Full,1.69
"Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",65.0,4.0,,,,4.0,3.0,,Have certificate,Basic,7.5
"Phường Phú Lương, Hà Đông, Hà Nội",32.0,,,,,5.0,3.0,4.0,Have certificate,Basic,3.3
"Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội",36.0,,,,,3.0,4.0,,Have certificate,,4.5
"Đường Yên Lộ, Phường Yên Nghĩa, Hà Đông, Hà Nội",40.0,,3.0,,,3.0,2.0,2.0,Have certificate,,4.75
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",50.0,5.0,,,,5.0,7.0,5.0,Have certificate,Full,6.5
"Xã Yên Sở, Huyện Hoài Đức, Hà Nội",40.0,,3.0,,,4.0,5.0,4.0,Have certificate,Full,2.8
"Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",35.0,3.3,,,,,,,Have certificate,Full,6.25
"Ngõ 169, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",45.0,,,,,,,,Have certificate,,5.85
"Đường 70, Phường Vạn Phúc, Hà Đông, Hà Nội",43.0,4.0,3.5,Đông - Nam,,5.0,4.0,,Have certificate,Basic,5.6
"Đường La Thành, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",65.0,,,,,5.0,5.0,5.0,Have certificate,Full,9.5
"Phố Xã Đàn, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",42.0,5.0,,,,4.0,3.0,3.0,,,5.88
"Đường Thanh Bình, Phường Mỗ Lao, Hà Đông, Hà Nội",38.0,3.6,,,,5.0,3.0,4.0,Have certificate,,7.8
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",50.0,5.0,,Đông - Nam,,5.0,4.0,4.0,Have certificate,Full,6.8
"Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội",41.0,,,,,5.0,9.0,,Have certificate,Full,7.65
"Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội",48.0,5.5,3.0,,,5.0,3.0,4.0,Have certificate,,5.88
"Phố Quốc Tử Giám, Phường Văn Miếu, Đống Đa, Hà Nội",41.0,4.5,,,,3.0,2.0,2.0,Have certificate,Full,6.8
"Đường Tây Sơn, Phường Quang Trung, Đống Đa, Hà Nội",46.0,3.6,,,,4.0,4.0,4.0,Have certificate,Full,8.2
"Đường Đê La Thành, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",64.0,,,,,5.0,7.0,7.0,Have certificate,Full,9.5
"Phố Lương Định Của, Phường Phương Mai, Đống Đa, Hà Nội",50.0,4.0,,,,4.0,3.0,,Have certificate,,8.7
"Thị trấn Chúc Sơn, Chương Mỹ, Hà Nội",31.0,3.0,,,,3.0,3.0,2.0,Have certificate,,1.99
"Phố Đại La, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",45.0,4.1,6.0,,,5.0,3.0,4.0,Have certificate,Full,5.0
"Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội",32.0,,,,,5.0,3.0,4.0,Have certificate,,4.6
"Đường 23B, thôn Nhuế, Xã Kim Chung, Đông Anh, Hà Nội",62.0,4.2,3.5,Đông - Nam,,3.0,,,Have certificate,,4.5
"Đường Tư Đình, Phường Long Biên, Long Biên, Hà Nội",50.0,4.0,,,,,,,,,6.49
"Đường Nguyễn Viết Xuân, Phường Quang Trung, Hà Đông, Hà Nội",22.0,5.2,4.2,,,2.0,,,Have certificate,,3.45
"Đường Quang Trung, Phường Yên Nghĩa, Hà Đông, Hà Nội",46.0,,,,,3.0,3.0,3.0,Have certificate,,4.65
"Đường Thanh Bình, Phường Mỗ Lao, Hà Đông, Hà Nội",22.0,,,,,2.0,,,Have certificate,,3.95
"Đường Phương Trạch, Xã Vĩnh Ngọc, Đông Anh, Hà Nội",41.1,3.8,3.0,Đông,Đông,3.0,2.0,3.0,Have certificate,,3.6
"Đường Tư Đình, Phường Long Biên, Long Biên, Hà Nội",45.0,,5.0,,,4.0,3.0,4.0,Have certificate,Full,7.45
"Đường La Dương, Phường Dương Nội, Hà Đông, Hà Nội",35.0,,,,,5.0,3.0,4.0,Have certificate,,4.35
"Đường Hữu Hòa, Xã Hữu Hòa, Thanh Trì, Hà Nội",39.0,3.9,3.0,Đông - Bắc,Đông - Bắc,5.0,4.0,3.0,Have certificate,Full,2.5
"Đường Tựu Liệt, Xã Tam Hiệp, Thanh Trì, Hà Nội",39.0,3.8,3.0,Nam,Nam,5.0,4.0,3.0,Have certificate,Full,3.85
"Đường Quang Trung, Phường La Khê, Hà Đông, Hà Nội",40.0,4.0,,,,4.0,6.0,6.0,Have certificate,,9.45
"Đường Lai Xá, Xã Kim Chung, Hoài Đức, Hà Nội",40.0,,,,,5.0,,,Have certificate,Full,4.75
"Đường Trần Phú, Phường Mỗ Lao, Hà Đông, Hà Nội",50.0,4.0,2.5,Đông - Bắc,,5.0,4.0,4.0,Have certificate,Full,7.5
"Đường Vũ Xuân Thiều, Phường Sài Đồng, Long Biên, Hà Nội",31.0,,,,,5.0,,,Have certificate,,5.1
"Ngõ 38, Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",55.0,4.2,5.0,,,5.0,5.0,4.0,Have certificate,Full,9.39
"Đường Thụy Khuê, Phường Thụy Khuê, Tây Hồ, Hà Nội",33.0,4.55,3.0,,,6.0,4.0,5.0,Have certificate,,9.7
"Đường Nguyễn Công Trứ, Phường Văn Quán, Hà Đông, Hà Nội",90.0,4.0,3.0,,,3.0,3.0,3.0,Have certificate,Full,9.0
"Phố Khâm Thiên, Phường Khâm Thiên, Đống Đa, Hà Nội",40.0,4.0,2.5,,,3.0,2.0,3.0,Have certificate,Full,4.95
"Phố Tôn Đức Thắng, Phường Quốc Tử Giám, Đống Đa, Hà Nội",55.0,7.0,3.0,,,5.0,5.0,4.0,Have certificate,Full,8.5
"Ngõ 83 Gốc Đề, Đường Minh Khai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",30.0,5.0,2.5,,,6.0,4.0,5.0,Have certificate,Full,5.85
"Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",46.0,4.2,4.0,,,5.0,4.0,4.0,Have certificate,Full,6.0
"Phố Quỳnh Mai, Phường Quỳnh Lôi, Hai Bà Trưng, Hà Nội",16.0,5.0,,,,4.0,,,Have certificate,Basic,2.55
"Ngõ 651, Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",38.0,3.7,4.0,,,5.0,6.0,4.0,Have certificate,Basic,6.69
"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",42.0,4.8,2.5,,,4.0,6.0,6.0,Have certificate,,5.5
"Phố Cự Lộc, Phường Thượng Đình, Thanh Xuân, Hà Nội",38.0,6.3,2.0,,,4.0,3.0,3.0,Have certificate,Full,6.15
"Đường Xa La, Phường Phúc La, Hà Đông, Hà Nội",50.0,,18.0,,,4.0,,,Have certificate,,10.0
"Ngõ 1, Đường Thiên Hiền, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",35.0,4.0,3.0,,,5.0,4.0,4.0,Have certificate,,6.6
"Ngõ 88 Phố Kim Hoa, Phường Kim Liên, Đống Đa, Hà Nội",12.0,,3.0,,,5.0,,,,,1.8
"Đường Thanh Nhàn, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",30.0,,2.0,,,4.0,4.0,3.0,,,4.5
"Phố Doãn Kế Thiện, Phường Mai Dịch, Cầu Giấy, Hà Nội",44.0,4.5,3.0,,,5.0,4.0,4.0,Have certificate,Full,5.7
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",33.0,4.0,4.0,,,5.0,3.0,4.0,Have certificate,,6.6
"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",33.0,4.1,,,,4.0,,,Have certificate,,4.75
"Ngõ 44, Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",50.0,,,,,4.0,4.0,4.0,Have certificate,Full,6.55
"Phường Đội Cấn, Ba Đình, Hà Nội",43.0,,,,,5.0,3.0,4.0,Have certificate,Basic,6.3
"Phố Nghĩa Tân, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",48.0,6.0,6.0,Đông - Bắc,Nam,1.0,3.0,2.0,Have certificate,Basic,8.5
"Đường Phú Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",30.5,4.0,,,,4.0,3.0,3.0,Have certificate,Full,4.95
"Đường Do Nha, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",35.0,,,,,5.0,3.0,4.0,Have certificate,Full,3.85
"Đường Thịnh Quang, Phường Thịnh Quang, Đống Đa, Hà Nội",53.0,,,,,5.0,6.0,4.0,Have certificate,Full,5.8
"Ngõ 371, Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",34.0,,,,,5.0,3.0,5.0,Have certificate,Full,3.9
"Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",37.0,4.1,,,,5.0,5.0,5.0,Have certificate,,8.0
"Đường Đội Cấn, Phường Cống Vị, Ba Đình, Hà Nội",45.0,,3.5,,,4.0,4.0,3.0,Have certificate,Full,6.3
"Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội",30.0,4.6,,,,4.0,3.0,4.0,Have certificate,,4.48
"Đường Nguyễn Văn Linh, Phường Thạch Bàn, Long Biên, Hà Nội",48.0,,,,,,5.0,,Have certificate,,4.5
"Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội",78.0,5.1,,,,4.0,4.0,4.0,Have certificate,,8.2
"Phường Thạch Bàn, Long Biên, Hà Nội",46.0,,,,,4.0,4.0,,Have certificate,,4.25
"Đường Đê Mới, Xã Phụng Châu, Chương Mỹ, Hà Nội",35.0,3.5,3.0,,,3.0,3.0,3.0,Have certificate,Full,2.28
"Ngõ 678, Đường Đê La Thành, Phường Ngọc Khánh, Ba Đình, Hà Nội",45.0,,3.0,,,4.0,4.0,3.0,Have certificate,Basic,8.95
"Đường Phú Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",30.1,3.8,,,,5.0,3.0,4.0,Have certificate,Full,4.95
"Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",38.0,,,,,5.0,4.0,5.0,Have certificate,,8.0
"Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",21.0,3.5,40.0,,,5.0,3.0,,Have certificate,Basic,8.1
"Đường Nam Dư, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",31.0,4.1,2.5,,,5.0,3.0,4.0,Have certificate,Full,5.26
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",30.6,,,,,5.0,,,Have certificate,Full,5.3
"Ngõ 21, Đường Thanh Am, Phường Thượng Thanh, Long Biên, Hà Nội",55.0,3.8,2.0,Tây,Tây,4.0,4.0,3.0,Have certificate,Basic,5.5
"Ngõ 204, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",40.0,4.0,,,,5.0,5.0,5.0,,Full,4.9
"Phố Trần Cung, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",30.0,,,,,5.0,4.0,4.0,Have certificate,Full,4.5
"Phố Đỗ Nhuận, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",100.0,6.0,30.0,Tây - Nam,Đông - Nam,1.0,,,Sale contract,,9.8
"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",42.0,,,,,4.0,4.0,3.0,Have certificate,Basic,6.2
"Đường Phan Kế Bính, Phường Cống Vị, Ba Đình, Hà Nội",45.0,5.0,,,,5.0,4.0,,Have certificate,Full,7.2
"Đường Nguyễn Thị Định, Phường Nhân Chính, Thanh Xuân, Hà Nội",33.0,3.0,2.5,,,5.0,3.0,3.0,Have certificate,Full,6.3
"Đường Thượng Thanh, Phường Thượng Thanh, Long Biên, Hà Nội",33.0,4.84,,,,5.0,,,Have certificate,Full,4.5
"Đường Nguyễn Sơn, Phường Bồ Đề, Long Biên, Hà Nội",32.0,,,,,,3.0,,Have certificate,,5.2
"Đường Yên Xá, Xã Tân Triều, Thanh Trì, Hà Nội",43.0,,,,,4.0,4.0,3.0,Have certificate,,5.3
"Cự  Lộc, Phố Cự Lộc, Phường Thượng Đình, Thanh Xuân, Hà Nội",35.4,6.3,,,,4.0,3.0,3.0,Have certificate,Full,6.0
"Phố Nghĩa Đô, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",35.0,,,,,2.0,1.0,,,Basic,4.0
"Đường Chiến Thắng, Phường Văn Quán, Hà Đông, Hà Nội",35.0,,10.0,Đông - Nam,,4.0,4.0,3.0,Have certificate,Full,9.2
"Đường Nguyễn Công Trứ, Phường Văn Quán, Hà Đông, Hà Nội",30.0,,,,,3.0,3.0,3.0,Have certificate,,4.2
"Đường Quang Tiến, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",75.0,,,,,4.0,,,Have certificate,,7.66
"Đường Tân Xuân, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",51.0,,2.5,Bắc,Bắc,1.0,2.0,1.0,Have certificate,,4.15
"Đường Đại Cát, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội",30.0,,2.5,Đông,Đông,4.0,3.0,3.0,Have certificate,,2.75
"Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",41.0,,,,,5.0,3.0,4.0,Have certificate,Full,4.3
"Đường Văn Phú, Phường Phú La, Hà Đông, Hà Nội",35.0,4.6,,,,5.0,4.0,,Have certificate,,7.6
"Đường Định Công Thượng, Phường Định Công, Hoàng Mai, Hà Nội",54.0,4.0,5.0,Tây - Bắc,Tây - Bắc,5.0,6.0,4.0,Have certificate,Full,8.1
"Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội",40.0,4.2,2.5,,,4.0,4.0,3.0,Have certificate,Full,7.4
"Đường 422B, Xã Vân Canh, Hoài Đức, Hà Nội",32.5,,,,,5.0,3.0,4.0,Have certificate,Basic,5.5
"Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",22.0,2.8,,,,2.0,2.0,2.0,Have certificate,Basic,2.88
"Ngõ 2/33/11, Đường Văn Trì, Phường Minh Khai, Bắc Từ Liêm, Hà Nội",30.0,3.5,2.0,Tây - Nam,Tây - Nam,4.0,4.0,2.0,Have certificate,Basic,4.15
"Phố Trần Đại Nghĩa, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",20.0,3.8,,,,5.0,3.0,4.0,Have certificate,Basic,7.0
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",40.0,4.5,,,,4.0,4.0,3.0,Have certificate,Basic,7.85
"Đường Ngọc Hồi, Xã Ngọc Hồi, Thanh Trì, Hà Nội",50.0,,,,,,,,Have certificate,,5.0
"Xã Đại Thành, Quốc Oai, Hà Nội",45.0,,,,,3.0,3.0,3.0,Have certificate,Basic,2.7
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",30.0,,,,,5.0,3.0,4.0,Have certificate,Basic,7.0
"đường Võng Thị, Phường Thụy Khuê, Tây Hồ, Hà Nội",30.0,3.5,1.8,Nam,Nam,5.0,3.0,4.0,Have certificate,Basic,5.25
"Phường Ngọc Thụy, Quận Long Biên, Hà Nội",35.0,,,,,4.0,,,,,6.3
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",30.0,,2.0,Đông - Bắc,,5.0,3.0,4.0,Have certificate,Basic,3.65
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",28.0,3.6,2.0,,,4.0,2.0,3.0,Sale contract,Full,2.94
"Ngõ 87 tổ 12, Đường Yên Lộ, Phường Yên Nghĩa, Hà Đông, Hà Nội",30.0,,,Đông - Bắc,,5.0,3.0,4.0,Have certificate,,4.95
"Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội",39.0,,,,,,,,Have certificate,,5.1
"Đường Bát Khối, Phường Long Biên, Long Biên, Hà Nội",36.0,,,,,5.0,,,Have certificate,,4.2
"Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",38.5,5.0,5.0,Đông - Bắc,Đông - Bắc,4.0,3.0,3.0,Have certificate,Full,4.35
"Đường Ái Mộ, Phường Bồ Đề, Long Biên, Hà Nội",34.0,,,,,5.0,3.0,,Have certificate,,5.5
"Đường Ái Mộ, Phường Bồ Đề, Long Biên, Hà Nội",42.0,,,,,,,,Have certificate,,5.8
"Đường Đàm Quang Trung, Phường Long Biên, Long Biên, Hà Nội",39.0,,,,,5.0,,,Have certificate,,4.85
"Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội",39.0,,,,,5.0,,,Have certificate,,4.9
"Đường La Phù, Xã La Phù, Hoài Đức, Hà Nội",32.0,4.0,,Đông - Nam,Đông - Nam,5.0,4.0,4.0,Have certificate,,3.25
"Đường La Phù, Xã La Phù, Hoài Đức, Hà Nội",32.0,5.0,4.0,Nam,Nam,4.0,3.0,3.0,Have certificate,,3.35
"Đường Phương Trạch, Xã Vĩnh Ngọc, Đông Anh, Hà Nội",52.0,5.0,3.0,,,3.0,4.0,2.0,Have certificate,Basic,3.6
"Đường Đội Cấn, Phường Liễu Giai, Ba Đình, Hà Nội",55.0,5.0,3.0,,,5.0,4.0,3.0,Have certificate,Full,8.9
"Đường Lĩnh Nam, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",22.0,,,,,5.0,3.0,2.0,Have certificate,Basic,2.68
"Đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",50.0,,,,,4.0,4.0,4.0,Have certificate,Full,6.5
"Phố Lương Định Của, Phường Phương Mai, Đống Đa, Hà Nội",38.0,3.5,3.0,,,4.0,4.0,3.0,Have certificate,Full,8.69
"Đường Lương Thế Vinh, Phường Thanh Xuân Bắc, Thanh Xuân, Hà Nội",46.0,,,,,4.0,4.0,4.0,Have certificate,Full,7.6
